business_id,name,address,city,state,postal_code,postal_code,latitude,longitude,stars,review_count
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,Philadelphia,CA,19107,19107,39.9555052,-75.1555641,4.0,80
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,2575 E Bay Dr,Largo,FL,33771,33771,27.9161159,-82.7604608,4.5,100
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,3001 Highway 31 W,White House,CA,37188,37188,36.4647467622,-86.6591868908,3.5,8
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,10588 109 Street,Edmonton,FL,T5H 3B2,T5H 3B2,53.549633299999996,-113.5087799,5.0,20
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,6880 E 82nd St,Indianapolis,FL,46250,46250,39.9062952,-86.0474634,3.5,257
L_TT0BFmFwORAMaA83K54A,Village Tap Room,838 Broad Ripple Ave,Indianapolis,FL,46220,46220,39.8699114,-86.1435773,2.5,23
ppFCk9aQkM338Rgwpl2F5A,Wawa,3604 Chestnut St,Philadelphia,FL,19104,19104,39.954573,-75.1948936,3.0,56
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,114 N 3rd St,Camden,CA,08102,08102,39.9466899,-75.123327,4.5,6
kk_oEw1j3xQ-cJaAII8A0Q,Giant Food Store,1760 Dekalb Pike,Blue Bell,FL,19422,19422,40.1490655,-75.3060284,3.0,29
qFX8IdomeBVhDPCSyz2aRg,Nashville Delivers,6591 Bluff Rd,Brentwood,FL,37027,37027,36.002397,-86.7023814,3.5,7
FRYkg_JvsWU9xIXZsEZcVA,Altamura,2127 Prytania St,New Orleans,FL,70115,70115,29.9333877563,-90.079498291,3.5,27
0vCsslN-TYnDeOSNT4rIfg,Whole Foods Market,14598 Clay Terrace Blvd,Carmel,FL,46032,46032,39.999084,-86.131076,3.5,44
PYW8Buz8S8LpjIe6mZTAcw,Payless Liquors,954 N State Rd 135,Greenwood,CA,46143,46143,39.632279734,-86.158674289,3.5,13
7Du9oW73YcYFmXdtU5aiSg,Kinjo's Japanese Restaurant,2875 Tyrone Blvd N,Saint Petersburg,FL,33710,33710,27.7972626,-82.7339127,3.5,17
