business_id,num_registros
---kPU91CF4Lq2-WlRu9Lw,11
--0iUa4sNDFiZFrAdIWhZQ,10
--30_8IhuyMHbSOcNWd6DQ,2
--7PUidqRWpRSpXebiyxTg,10
--7jw19RH9JKXgFohspgQw,26
--8IbOsAAxjKRoYsBFL-PA,32
--9osgUCSDUWUkoTLdvYhQ,24
--ARBQr1WMsTWiwOKOj-FQ,34
--FWWsIwxRwuw9vIMImcQg,7
--FcbSxK1AoEtEAxOgBaCw,82
--LC8cIrALInl2vyo701tg,7
--MbOh2O1pATkXa7xbU6LA,103
--N9yp3ZWqQIm7DqKRvorg,7
--O3ip9NpXTKD4oBS1pY2A,456
--OS_I7dnABrXvRCCuWOGQ,1
--S43ruInmIsGrnnkmavRw,309
--SJXpAa0E-GCp2smaHf0A,45
--Sd93OFWITqDHifMoAy9g,48
--ZVrH2X2QXBFdCilbirsw,67
--ZWv8kGlM2YL58uKhGJDg,13
--_9CAxgfXZmoFdNIRrhHA,136
--_lZuj_WCGnDG6n0emlRg,30
--a_r_w1HTsOY-fagPeNKg,43
--eBbs3HpZYIym5pEw8Qdw,28
--epgcb7xHGuJ-4PUeSLAw,118
--gJkxbsiSIwsQKbiwm_Ng,13
--hF_3v1JmU9nlu4zfXJ8Q,7
--lqIzK-ZVTtgwiQM63XgQ,21
--onnLZrsCazmcy2P_7fcw,53
--pDYWb4DzqKdAdrPcxuaA,35
--qLiYw2ErSmvVwumb2kdw,3
--rS-rnOIZxoiDA8yctWpQ,14
--sXnWH9Xm6_NvIjyuA99w,970
--seHXaJfDtWbmFSxkzaRg,2
--sgBOzb76sjOQ-Xhdjffw,3
--vx2CCaG3wOSoTnRG-rig,3
--x_BmZbxzK_nx_GHBaRVw,24
--zb12mw2YK-7j6UaHzm8w,1
-02xFuruu85XmDn2xiynJw,38
-06OYKiIzxsdymBMDAKZug,6
-06ngMH_Ejkm_6HQBYxB7g,4
-09Oc2D14vRnmirPh0vlXw,500
-0E708CsutslDLUuuzWGYQ,7
-0E7laYjwZxEAQPhFJXxow,5
-0EdehHjIQc0DtYU8QcAig,14
-0FX23yAacC4bbLaGPvyxw,63
-0G_6-KFGpCpxTUlVXCMYQ,438
-0H_3r6z2giieA6oSTUFKQ,4
-0M0b-XhtFagyLmsBtOe8w,57
-0PN_KFPtbnLQZEeb23XiA,15
-0TffRSXXIlBYVbb5AwfTg,1495
-0Ym1Wg3bXd_TDz8JtvOQg,104
-0YvX6VK5S0u_hbQFYq10g,6
-0__F9fnKt8uioCKztF5Ww,94
-0dKgi_Hpcis921nOpM85Q,28
-0eUa8TsXFFy0FCxHYmrjg,33
-0epFLgYq2C1Jo_W4FOBKw,21
-0fOUV_llBAPMo7exZFHPA,5
-0fvhILrC9UsQ6gLNpZlTQ,8
-0gRYq5UjMtZbELj0KHxzA,291
-0gWtMKg8_iV6vC5wRFDiA,58
-0hxpkIpBh2T0tvdM1mSIw,45
-0i2KNr7WrCsDF5m0IViJg,82
-0iIxySkp97WNlwK66OGWg,449
-0jK77zdE3-plqXuwXtilQ,37
-0jzoPt3UeXn6FUXVQvyPg,130
-0kH3RmIVq-OhpuWAuU59w,60
-0ltw8--HLuulPyOSspqAQ,15
-0m4IwD1FIOqkA8dh4mVfQ,29
-0oPt7sSKtJG1ysLwV_E9g,33
-0qOecqGXEf_6TwaiX9E5A,35
-0x-MbRbsi9YoPxB873qcw,5
-0yr__Vo4hOCZwvzRWd1zA,12
-1-8eimDEnS9fezJNZkQkQ,2
-12_gQ7NRcMWSRs97mRQdw,4
-16EH6b1ho0xQqP0Bzm9Mg,24
-18_wKpOm836Z6snHOm9KQ,1
-1B9pP_CrRBJYPICE5WbRA,3552
-1Bvqy9wtFDyUB8GuDqQQw,16
-1DxQ1CxSc_JCxzKm9bglg,33
-1EGqUQFBmGEp76CE-Zk4Q,34
-1HV4mcg_qK_crhySfBycQ,232
-1K1J_D9eT2dR6BNvQ2Tnw,35
-1MhPXk1FglglUAmuPLIGg,523
-1OSMXiFyvq6VW4Y7UpjvQ,46
-1PG6k_iezwJmRZLB7f6og,124
-1PvWminK3Er7fqpTjk19A,5
-1VF4NdEN07IB8nePQbAqQ,11
-1WM2044r3jVZC6oQ2QeVA,22
-1XSzguS6XLN-V6MVZMg2A,441
-1YvpVvnnLrTZ0zjtUYPXA,38
-1b2kNOowsPrPpBOK4lNkQ,10
-1b7CQbbl_3uotcTsxhHsw,9
-1dARtemb2Gy7XlftvtNXQ,2
-1g8Qb6t_mSX_ak1thMmrQ,1
-1hvq_mL4GSEwKE7z8xYug,15
-1iLbEf1NwY-OJp5Hg-3Sg,2
-1m7-ZxGRVRdKa4tFB4eDg,87
-1owBLC2h6DF5n_j77oq3g,1
-1oygVebK81K8JEPI6H6Lw,142
-1q9ktAQXpgFSNrst7tzag,80
-1ueCbvIpUPi8KT95ETTKw,385
-1w9JMktu9oWTXwNqtZQoA,4
-1wnOZFsvsJPEXh_hWcmMA,3
-1yftDfgOUlxe_IACM5PFg,87
-1ygry5D2oOt_vch4rjMuA,3
-1yt2mk60wWuQz9hPVKZCA,16
-1zRvh3yjKAa2eYggRKbuw,151
-1ze-oWDnrGAzvAg56QXUA,1
-2-ih3mE8KPyeKVIzpBfPQ,175
-24TYSeA5yK8oH7hfJkZ0g,362
-26oP1-VaPjz7Ed-Lvd7uA,16
-2Axhv9AZ_n7qjQefECpVw,12
-2BDt9OdGiBONysWCdKgNg,44
-2CPhK6ik9ZBgFX_F-dkxQ,7
-2EjCEt-F3UP5mGf-k-u9Q,54
-2HaAaQODTx0sr2srL553Q,8
-2ITCGoCJBeCgt-oWyw6Lw,38
-2KK9cqa26KZ1xrfOm9A7w,9
-2PzCCRmUICl0lTrF8ih8w,9
-2Rr5lt1yC5o-Lo3SAIFNQ,4
-2Tm0VU-tcatBp-SCZsuZg,12
-2UbmgSYMlg88sU7cUWGAQ,4
